tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name
@3mst_ @noon,12,1236794864840454145,2020-03-08 23:24:08,Twitter for Android,0,0,Messi_FCB,a3kfp,abod
@CouponsAZ404 @noon نبي أكثر من كذا إهداء ليوم المرأة العالمي 🥰,63,1236780284944793600,2020-03-08 22:26:12,Twitter for iPhone,0,0,,ronagh__,⭐️رونق⭐️
@CouponsAZ404 @noon مافيه اكثر من كذا ؟,39,1236776335231594498,2020-03-08 22:10:31,Twitter for iPhone,1,0,,ronagh__,⭐️رونق⭐️
@CouponsAZ404 @noon خصم بس ٥٪,29,1236776294521724929,2020-03-08 22:10:21,Twitter for iPhone,0,0,,ronagh__,⭐️رونق⭐️
Rivercreek Wellness March 11 @NOON B12 Happy Hour.  Schedule here https://t.co/HBd5Vu17nh  #WeightLossSpokane… https://t.co/Bpt0P1OQIV,134,1236750560008613888,2020-03-08 20:28:05,Twitter Web App,1,0,"Spokane, WA",JulieGeorgeND,Dr. Julie George
"@noon اكواد خصم موقع نون #يوم_المراه_العالمي 
#السعودية #الامارات ZLUH 💛
#مصر AFAR1691 💛",88,1236750079450656768,2020-03-08 20:26:11,Twitter Web App,0,0,#Egypt,OnlineDealsEg,Online Deals
@noon انا عندي طلبيه وصلت بس باقي قطعه لسى ماجت,47,1236747051599265797,2020-03-08 20:14:09,Twitter for iPhone,0,0,"الرياض, المملكة العربية السعودية",msa19882,maha
"RT @OfferzMall: @noon كوبون خصم ABC93 💛
#اليوم_العالمي_للمرأة https://t.co/wtqyRg275y",85,1236744257668624386,2020-03-08 20:03:03,Twitter for Android,0,1,,Hossam01141062,Hossam
"@noon كوبون خصم ABC93 💛
#اليوم_العالمي_للمرأة https://t.co/wtqyRg275y",69,1236743708818771968,2020-03-08 20:00:52,Twitter Web App,1,1,Saudia Arabia,OfferzMall,Offers Mall
@noon  #نون شوفو بكم قيمه المعقم ابو 12 و7ريال بكم صار https://t.co/Zddsst0oEw,78,1236743551792361474,2020-03-08 20:00:14,Twitter for iPhone,0,0,,RaF1786,ريهـام ⚜️
@noon https://t.co/5vNuCB1usH,29,1236742629037150214,2020-03-08 19:56:34,Twitter for Android,0,0,,hmoon441,Huda Moon
@noon وصلني المنتج في حالة سيئة كيف طريقة الإرجاع او الاستبدال,62,1236742488880304131,2020-03-08 19:56:01,Twitter for Android,0,0,,hmoon441,Huda Moon
"RT @sosooosoos: @noon سؤال بما انه الصناعه صينيه هل تحمل فيروس كرونا  
.
.
.
.
..
.
.
.
.
..

البعض تم مقاطعة نون بسبب صينيه وممكن تحمل فير…",140,1236738143245795328,2020-03-08 19:38:45,Twitter for Android,0,112,مررت من هنادعوه صادقة لوالدي😭,raewwmah12,رَيّوُوُوُمِـهِ آلَقَحً ـطٌـآنٌيّ 💕دخوول متقطع 💕
@noon السلام عليكم .. قبل يومين سويت تاجيل للطلبيه وللحين لم يتم التسليم . والحل,80,1236734428635938823,2020-03-08 19:23:59,Twitter for iPhone,0,0,,tuuoty,توتي
"RT @sosooosoos: @noon سؤال بما انه الصناعه صينيه هل تحمل فيروس كرونا  
.
.
.
.
..
.
.
.
.
..

البعض تم مقاطعة نون بسبب صينيه وممكن تحمل فير…",140,1236733493683634176,2020-03-08 19:20:16,Twitter for Android,0,112,في قلبك ❤️,vvvi5i,خالد
"@noon مساء الخير
عايز الغي اوردر علشان اعدله 
NEGC30096237000 
رقم",66,1236730163041370114,2020-03-08 19:07:02,Twitter for Android,0,0,,AEltanahi,A.A.TANAHY
@remas_1414 @noon مررره جميل,28,1236725870183751680,2020-03-08 18:49:59,Twitter for iPhone,0,0,السعودية العظمى ,Bin_Ateeq93,Abdullah Al Otaibi (MBS🇸🇦)
@Bin_Ateeq93 @noon كيف نظامها حلو,33,1236724802007728133,2020-03-08 18:45:44,Twitter for iPhone,0,0,"ابها, المملكة العربية السعودية",remas_1414,ريماس الشهري (MBS) 🇸🇦
@noon كود خصم نون HAOL,22,1236718852622422018,2020-03-08 18:22:06,Twitter for iPhone,0,0,,Gg29206704,Gg
@noon ماهو مبلغ VAT المقدر؟,27,1236717665143701510,2020-03-08 18:17:23,Twitter for iPhone,1,0,امي,nadosah__,76..💋
@cpaksa السلام عليكم ، فضلًا الاستفسار ، هل تخضع مواقع البيع الالكتروني لسلطاتكم وصلاحياتكم الرقابية ، @noon مثلا,113,1236717123394768899,2020-03-08 18:15:13,Twitter for iPhone,0,0,"الرياض, المملكة العربية السعودية",monis557,m.h.monis
@falqahtani555 @noon نفس ه🤣🤣🤣🤣,30,1236717009112621057,2020-03-08 18:14:46,Twitter for iPhone,0,0,,NAHAR85182028,NAHAR
@noon_cares @ask4arvind @AmazonAE @noon ارجوووووو الرد خاص,58,1236713287057838086,2020-03-08 17:59:59,Twitter for iPhone,0,0,,WwwFotom,fotom
RT @virtue_radio: Time to open your ears real wide and rock out with the Dark Lord of Rock n Roll every Sunday @noon to 2 pm NBT @ https://…,140,1236712686739771392,2020-03-08 17:57:36,Twitter for Android,0,2,,Mal_Hari_1,Mal Hari
"RT @noon: بالبسمة 🎶

توصلك 💛

البهجة 😁

#طلباتك_أوامر 
#هلا_نون https://t.co/H49FTSoVJj",87,1236712103316082689,2020-03-08 17:55:17,Twitter Web App,0,39,,BrandiBergero19,Brandi Bergeron
@CouponsAZ404 @noon كم تكون قيمه المنتج,39,1236710975346282501,2020-03-08 17:50:48,Twitter for iPhone,0,0,المملكة العربية السعودية,jjjkkkkkooo,..
@CouponsAZ404 @noon ماهي المنتجات اللي تنفع مع ذا الكود لانه يقول غير صالح,74,1236710789895110669,2020-03-08 17:50:03,Twitter for iPhone,0,0,المملكة العربية السعودية,jjjkkkkkooo,..
@noon  لدي طلبيه واريد رجاااااء تجميعها وارسالها مرة واحدة رقم الطلب NSAC30062880328,84,1236707302654332931,2020-03-08 17:36:12,Twitter for iPhone,0,0,المملكة العربية السعودية,x4t16,🌿
"RT @noon: للجمعات الرهيبة تحتاج سماعة وشاحن 🔋📻
 وشلون لو سماعة وشاحن متنقل بنفس الوقت، شيّك على سماعات نون إيست 💛

نوّنها على: https://t.co…",140,1236706688788545537,2020-03-08 17:33:46,Twitter Web App,0,11,,JulieTa17822755,Julie Taylor
@noon السلام عليكم قدمت على رابطكم ك مندوب توصيل بدوام جزئي ولم يتم الرد علي الان لي اسبوع,90,1236701718571888640,2020-03-08 17:14:01,Twitter for iPhone,0,0,,kaliiidd,♡| ‏​mr.ℓσd
"@noon كوبون خصم نون هدية لكم😍❤
خصم حتى 50 ريال  

انسخ كوبون الخصم  : AZ404
اللصق كوبون الخصم: AZ404",100,1236693625637085191,2020-03-08 16:41:51,Twitter for iPhone,0,0,"الرياض, المملكة العربية السعودية",CouponsAZ404,كوبون خصم نون
@noon https://t.co/9loVaE0hFM,29,1236693528148946945,2020-03-08 16:41:28,Twitter for iPhone,0,0,"الرياض, المملكة العربية السعودية",CouponsAZ404,كوبون خصم نون
@noon ⁦❤️⁩,10,1236693490979004417,2020-03-08 16:41:19,Twitter for Android,1,0,,ms68m,🎀📲هـُبـههہ 📲🎀
"RT @noon: للجمعات الرهيبة تحتاج سماعة وشاحن 🔋📻
 وشلون لو سماعة وشاحن متنقل بنفس الوقت، شيّك على سماعات نون إيست 💛

نوّنها على: https://t.co…",140,1236693237265338369,2020-03-08 16:40:19,Twitter Web App,0,11,,Elizabe08615815,Elizabeth Carlson
Time to open your ears real wide and rock out with the Dark Lord of Rock n Roll every Sunday @noon to 2 pm NBT @… https://t.co/7lqsYBhSGN,137,1236690728794738689,2020-03-08 16:30:21,Zoho Social,2,2,,virtue_radio,VirtueRadio
الحين انا اتريا اسبوعين واخر شي نون يلغون طلبيتي ؟؟؟؟؟  @noon خدمات فاشله https://t.co/FNgQtGUwu8,97,1236689740117745668,2020-03-08 16:26:25,Twitter for iPhone,0,0,الامارات العربية المتحدة,ahhmd_9,ahmed
@noon لو سمحتو التي اختربت اخذتها من عندكم فجأه اختربت وعليها ضمان بعد,70,1236688637594685440,2020-03-08 16:22:02,Twitter for iPhone,0,0,..,asma_aldosrry,AS🇸🇦.
@noon_cares خصم بطاقة بنك البلاد شغال ؟,39,1237062298277163013,2020-03-09 17:06:50,Twitter for iPhone,0,0,,Timekoder,D𝔻 ⚡️
@noon_cares وشلون وانتم ماتعرفون رقم طلبيتي,43,1237061176510513152,2020-03-09 17:02:22,Twitter for iPhone,0,0,,geralbshar,🇸🇦
@noon_cares وشلون اخلي الشحنات تكون مع بعض مايجون متفرقين,57,1237058028828004353,2020-03-09 16:49:52,Twitter for iPhone,0,0,,geralbshar,🇸🇦
@noon_cares هل هي تعبئه دبي؟,28,1237056180360486912,2020-03-09 16:42:31,Twitter for iPhone,0,0,,najdalmu,none
@noon_cares @GGHH_92 @Ghaith920 السلام عليكم لدي شحنه المفروض استلمها من قبل امس وللان لم تسلم,94,1237052033829613570,2020-03-09 16:26:02,Twitter for iPhone,0,0,,f_aljofe,ﺂلجوفـي..♡
@noon_cares لو انه رايح من الرياض للدمام وصل من 5 العصر انتظر مندوبكم https://t.co/6nnGz5hUya,93,1237051424602755072,2020-03-09 16:23:37,Twitter for iPhone,0,0,,MND__90,محـمد الاسـمري
@noon_cares ردو على الخاص,25,1237046230477406208,2020-03-09 16:02:59,Twitter for iPhone,0,0,,somii_0i,سُميه
@noon_cares ممكن تشوفو الخاص,28,1237039157169487885,2020-03-09 15:34:52,Twitter for iPhone,0,0,جدة,fofa_bnt_habib,afifah
@noon_cares الرجاء الرد على الخاص,33,1237037193178251264,2020-03-09 15:27:04,Twitter for Android,0,0,,zaierex,Zaierex
@noon_cares تم التواصل,22,1237032091361202177,2020-03-09 15:06:48,Twitter for iPhone,0,0,,fhda1996,fhda1996
@noon_cares مرحبا ابغا وصله اشبك الجوال بالتلفزيون لجهاز جالكسي,63,1237031039446499328,2020-03-09 15:02:37,Twitter for iPhone,0,0,,fhda1996,fhda1996
@noon_cares السلام عليكم ممكن التواصل معي خاص لو سمحت,53,1237000800301387776,2020-03-09 13:02:27,Twitter for Android,0,0,,Ali66556951,ali|¶
"@noon_cares 

طلبت وحطيت مدينة غلط كيف اعدل المدينه والطلب بيجي بكرا ؟؟؟.",73,1236991066462658562,2020-03-09 12:23:47,Twitter for iPhone,0,0,,nahh6999,nona3
@noon_cares لو سمحت كيف اخلي طلبي يوصلني دفعه وحده بدون تقسيم؟,62,1236980802686197762,2020-03-09 11:43:00,Twitter for iPhone,0,0,,Roniiiiaaaa,رنوي
@noon_cares اها https://t.co/QD4N0oqvnR,39,1236980257984569344,2020-03-09 11:40:50,Twitter for iPhone,0,0,,_50m_,سان
"@noon_cares ياخي اتصلتو علي بخصوص المنتج اللي الغيتوه وقلتو انكم راح ترجعون المبلغ +رسوم الشحن 
واحصل بالمحفظه 29 ر… https://t.co/PHLv86ibYH",140,1236973963764514821,2020-03-09 11:15:49,Twitter for iPhone,0,0,,Lomy280,ٌ
"@noon_cares
كيف استرجع منتج جابوه لي غير اللي طلبته؟",52,1236973925466284032,2020-03-09 11:15:40,Twitter for Android,0,0,,0123Fatmh,ورد🥀
@noon_cares كوبون خضم اجيبه منين,32,1236966245540474880,2020-03-09 10:45:09,Twitter Web App,0,0,,A7medRa03233115,A7med Ramadan
@noon_cares NSAC30081984584,27,1236961044515491840,2020-03-09 10:24:29,Twitter Web App,0,0,جدة,SalehMahroos,Saleh Mahroos
@noon_cares عندكم كل شيء في الخاص !,35,1236960549595947008,2020-03-09 10:22:31,Twitter for iPhone,0,0,المملكة العربية السعودية,x8ll5,R .
@noon_cares @GGHH_92 @Ghaith920 انا عطيتكم رقم الطلب وقلت خل الاغراض شحنة وحده توصل مع بعض ومن الصباح للحين كل شوي تجيني شغله ؟!!!,130,1236954418471489542,2020-03-09 09:58:09,Twitter for iPhone,0,0,المملكة العربية السعودية,x8ll5,R .
@noon_cares المبلغ رجعتوه لي رصيد بالموقع! ومن قبل تم تبليغي ان راح ترجعونه للحساب!!,84,1236951534488948738,2020-03-09 09:46:41,Twitter for iPhone,0,0,,mara_k94,معارض وبازارات
@noon_cares 😂,13,1236946226710487041,2020-03-09 09:25:36,Twitter for Android,0,0,"الباحة, المملكة العربية السعود",amamz33amamz33,amamz
@noon_cares @Neutral__11 ارجو منكم تزويدي بسبب الالغاء (فاشلين) https://t.co/8MebKynvEE,87,1236942152120389633,2020-03-09 09:09:24,Twitter for Android,0,0,"الباحة, المملكة العربية السعود",amamz33amamz33,amamz
@noon_cares صباح الخير.. وصلتني شحنه والحمدلله كل شي زين و سليم بس فيها ستاند مكسور كيف يتم ارجاعه او استبداله!!!,113,1236938451364139009,2020-03-09 08:54:42,Twitter for iPhone,0,0,مو مهم وين,22Loolaa,the best
@noon_cares يا #نون_النصب_والاحتيال  لابد من #مقاطعة_نون,56,1236936819138351104,2020-03-09 08:48:13,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
@noon_cares نعتذر وش استفيد من الاعتذار اذا نصبكم يتكرار اكثر من مرا ؟؟,71,1236936693334396929,2020-03-09 08:47:43,Twitter for iPhone,0,0,المملكة العربية السعودية,jeweled_99,jeweled
"اهلين @noon_cares متى بتوصل شحنتي

NSAC30031591261",50,1236935808017448961,2020-03-09 08:44:12,Twitter for iPhone,0,0,,cake_raghad,cakeTHEplanet
@noon_cares السلام عليكم ،انا طلبت خلاط من عندكم من ثلاث شهور تقريبا واستخدامي له جدا قليل والحين ماعاد يشتغل ومكتو… https://t.co/VV1U5sS3U7,140,1236930894809780225,2020-03-09 08:24:41,Twitter for iPhone,0,0,,aeoosh97,aeoosh..
